alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-2.000,-0.0074,0.01067,0.00453,-0.0563,0.6488,0.0400,-2.0772,0.0000,0.0000,0.0000,-7.5044
-1.500,0.0684,0.01004,0.00350,-0.0526,0.5783,0.0524,-1.6281,0.0000,0.0000,0.0000,1.0255
-1.000,0.1443,0.00983,0.00293,-0.0495,0.5006,0.0699,-1.2285,0.0000,0.0000,0.0000,0.5940
-0.500,0.2200,0.00988,0.00270,-0.0470,0.4197,0.1024,-0.9153,0.0000,0.0000,0.0000,0.4627
0.000,0.2903,0.00920,0.00253,-0.0447,0.3564,0.3595,-0.9578,0.0000,0.0000,0.0000,0.4022
1.000,0.4224,0.00833,0.00310,-0.0359,0.3013,0.8786,-1.1368,0.0000,0.0000,0.0000,0.3321
1.500,0.5101,0.00878,0.00360,-0.0348,0.2858,0.9636,-1.2560,0.0000,0.0000,0.0000,0.3150
2.000,0.6403,0.00947,0.00423,-0.0425,0.2722,0.9931,-1.4163,0.0000,0.0000,0.0000,0.3129
2.500,0.7422,0.01012,0.00488,-0.0447,0.2623,1.0000,-1.5691,0.0000,0.0000,0.0000,0.3064
3.000,0.8090,0.01063,0.00546,-0.0396,0.2542,1.0000,-1.6944,0.0000,0.0000,0.0000,0.2946
3.500,0.8760,0.01134,0.00620,-0.0341,0.2453,1.0000,-1.8351,0.0000,0.0000,0.0000,0.2841
4.000,0.9480,0.01217,0.00716,-0.0288,0.2371,1.0000,-1.9942,0.0000,0.0000,0.0000,0.2751
4.500,1.0233,0.01300,0.00816,-0.0234,0.2262,1.0000,-2.1907,0.0000,0.0000,0.0000,0.2670
5.000,1.0985,0.01399,0.00940,-0.0172,0.2128,1.0000,-2.5181,0.0000,0.0000,0.0000,0.2592
5.500,1.1803,0.01455,0.01019,-0.0104,0.1876,1.0000,-3.0445,0.0000,0.0000,0.0000,0.2516


