alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp

-5.000,-0.3188,0.02138,0.01682,-0.1138,0.9220,0.0632,-2.5803,0.0000,0.0000,0.0000,-0.1253

-4.500,-0.2890,0.02013,0.01542,-0.1049,0.9091,0.0676,-2.3744,0.0000,0.0000,0.0000,-0.1307

-4.000,-0.2053,0.01805,0.01317,-0.1069,0.9038,0.0788,-2.0647,0.0000,0.0000,0.0000,-0.2917

-3.500,-0.0902,0.01607,0.01119,-0.1146,0.9006,0.1083,-1.6855,0.0000,0.0000,0.0000,-1.0596

-3.000,-0.0217,0.01472,0.01005,-0.1147,0.8851,0.1661,-1.4159,0.0000,0.0000,0.0000,-5.1577

-2.500,0.2600,0.00957,0.00615,-0.1626,0.8790,0.5717,-0.9102,0.0000,0.0000,0.0000,0.8823

-2.000,0.3636,0.00952,0.00608,-0.1631,0.8608,0.5967,-0.7257,0.0000,0.0000,0.0000,0.7018

-1.500,0.4526,0.00954,0.00609,-0.1607,0.8296,0.6088,-0.9157,0.0000,0.0000,0.0000,0.6062

-1.000,0.5355,0.00989,0.00637,-0.1565,0.7755,0.6193,-1.1142,0.0000,0.0000,0.0000,0.5422

-0.500,0.5673,0.01124,0.00662,-0.1447,0.5277,0.6298,-1.2836,0.0000,0.0000,0.0000,0.5039

0.000,0.5628,0.01344,0.00808,-0.1269,0.3091,0.6341,-1.4001,0.0000,0.0000,0.0000,0.4733

0.500,0.6048,0.01532,0.00943,-0.1181,0.1538,0.6378,-1.5931,0.0000,0.0000,0.0000,0.4423

1.000,0.6730,0.01656,0.01054,-0.1134,0.1018,0.6426,-1.8852,0.0000,0.0000,0.0000,0.4149

1.500,0.7509,0.01764,0.01167,-0.1102,0.0821,0.6473,-2.2258,0.0000,0.0000,0.0000,0.3924

2.000,0.8188,0.01943,0.01362,-0.1050,0.0691,0.6503,-2.5356,0.0000,0.0000,0.0000,0.3734

2.500,0.8925,0.02119,0.01567,-0.1001,0.0639,0.6545,-2.8645,0.0000,0.0000,0.0000,0.3566

3.000,0.9619,0.02407,0.01900,-0.0935,0.0595,0.6571,-3.1211,0.0000,0.0000,0.0000,0.3411

3.500,1.0161,0.02834,0.02388,-0.0858,0.0548,0.6594,-3.3248,0.0000,0.0000,0.0000,0.3278

4.000,1.0278,0.03440,0.03060,-0.0764,0.0526,0.6616,-3.4805,0.0000,0.0000,0.0000,0.3172

4.500,1.0084,0.04198,0.03870,-0.0688,0.0508,0.6638,-3.5415,0.0000,0.0000,0.0000,0.3104

5.000,0.9712,0.05196,0.04910,-0.0667,0.0487,0.6658,-3.5034,0.0000,0.0000,0.0000,0.3102

5.500,0.9355,0.06455,0.06199,-0.0717,0.0458,0.6677,-3.3881,0.0000,0.0000,0.0000,0.3176

6.000,0.9065,0.07956,0.07715,-0.0828,0.0428,0.6695,-3.2293,0.0000,0.0000,0.0000,0.3319

6.500,0.8919,0.09337,0.09096,-0.0923,0.0406,0.6714,-3.1245,0.0000,0.0000,0.0000,0.3438

7.000,0.8794,0.10636,0.10394,-0.1005,0.0388,0.6732,-2.9952,0.0000,0.0000,0.0000,0.3541

7.500,0.8656,0.12038,0.11795,-0.1095,0.0365,0.6750,-2.7311,0.0000,0.0000,0.0000,0.3660

8.000,0.8643,0.13322,0.13077,-0.1174,0.0349,0.6772,-2.5477,0.0000,0.0000,0.0000,0.3750

8.500,0.8703,0.14552,0.14304,-0.1250,0.0341,0.6793,-2.3971,0.0000,0.0000,0.0000,0.3823

